hole,comm,history,fold,stay-in,raise
2d Qh ,,s,0.09363242906514063,0.4322815144976929,0.47408605643716645
2d Qh ,As 7h 9h 3d Ks ,ssssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d Ks ,ssssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,sssrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d Ks ,sssrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,sssrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d Ks ,sssrrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,sssrrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,sssrrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,ssrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,ssrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,ssrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,ssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,srsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,srssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,srsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,srsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d Ks ,rsssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,rssrs,0.33333333333333337,0.33333333333333337,0.33333333333333337
2d Qh ,As 7h 9h 3d ,rssrr,0.33333333333333337,0.33333333333333337,0.33333333333333337
2d Qh ,As 7h 9h 3d ,rsrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,rsrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,rsrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,rsrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,rrsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h 3d ,rrssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,rrsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2d Qh ,As 7h 9h ,rrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,,s,0.09363242906514063,0.4322815144976929,0.47408605643716645
2s 9c ,2h 5s 8h Jd Qs ,ssssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd Qs ,ssssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,sssrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd Qs ,sssrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,sssrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd Qs ,sssrrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,sssrrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,sssrrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,ssrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,ssrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,ssrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,ssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,srsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,srssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,srsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,srsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd Qs ,rsssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,rssrs,0.33333333333333337,0.33333333333333337,0.33333333333333337
2s 9c ,2h 5s 8h Jd ,rssrr,0.33333333333333337,0.33333333333333337,0.33333333333333337
2s 9c ,2h 5s 8h Jd ,rsrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,rsrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,rsrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,rsrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,rrsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h Jd ,rrssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,rrsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
2s 9c ,2h 5s 8h ,rrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,,s,0.09363242906514063,0.4322815144976929,0.47408605643716645
3s 9c ,Qh 6c 3c Jc 7s ,ssssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc 7s ,ssssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,sssrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc 7s ,sssrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,sssrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc 7s ,sssrrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,sssrrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,sssrrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,ssrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,ssrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,ssrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,ssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,srsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,srssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,srsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,srsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc 7s ,rsssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,rssrs,0.33333333333333337,0.33333333333333337,0.33333333333333337
3s 9c ,Qh 6c 3c Jc ,rssrr,0.33333333333333337,0.33333333333333337,0.33333333333333337
3s 9c ,Qh 6c 3c Jc ,rsrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,rsrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,rsrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,rsrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,rrsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c Jc ,rrssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,rrsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
3s 9c ,Qh 6c 3c ,rrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,,s,0.09363242906514063,0.4322815144976929,0.47408605643716645
4c Jd ,4s 9s 8d 2h Tc ,ssssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h Tc ,ssssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,sssrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h Tc ,sssrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,sssrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h Tc ,sssrrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,sssrrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,sssrrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,ssrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,ssrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,ssrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,ssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,srsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,srssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,srsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,srsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h Tc ,rsssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,rssrs,0.33333333333333337,0.33333333333333337,0.33333333333333337
4c Jd ,4s 9s 8d 2h ,rssrr,0.33333333333333337,0.33333333333333337,0.33333333333333337
4c Jd ,4s 9s 8d 2h ,rsrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,rsrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,rsrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,rsrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,rrsss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d 2h ,rrssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,rrsrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4c Jd ,4s 9s 8d ,rrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,,s,0.08270960481808409,0.09824136217722068,0.8190490330046952
4h 9h ,5s 7c 4s 3c 9s ,ssssr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c 9s ,ssssrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,sssrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c 9s ,sssrsrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,sssrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c 9s ,sssrrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,sssrrrs,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,sssrrrr,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,ssrss,0.3333333333333333,0.3333333333333333,0.3333333333333333
4h 9h ,5s 7c 4s 3c ,ssrsr,0.3333333333333333,0.3333333333333333,0.3333333333333333
